School,ID,Diploma_Honors,Diploma_Core40,Diploma_General,Waiver_Yes,Waiver_No,AP_Passed,AP_NotPassed,AP_NotTaken,DualCredit_Yes,DualCredit_No,21Century_Yes,21Century_No,LunchFR_Yes,LunchFR_No,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_Other
PrairieHeightsSrHighSchool,3690,31,69,13,2,111,12,17,84,71,42,,100,33,80,101,0,3,2,7
PrincetonCommunityHighSchool,2249,34,69,13,8,108,5,20,91,58,58,,89,24,92,106,2,2,0,6
ProvidenceCristoReyHighSchool,C623,7,26,0,0,33,1,3,29,1,32,,14,27,6,3,22,7,0,1
RNelsonSniderHighSchool,0102,133,275,15,43,380,94,73,256,171,252,,339,192,231,264,91,28,7,33
RandolphSouthernJrSrHighSch,7121,10,24,9,3,40,3,6,34,18,25,,30,17,26,37,0,2,0,4
ReitzMemorialHighSchool,D535,103,53,2,0,158,59,29,70,70,88,6,152,14,144,136,4,3,5,10
RensselaerCentralHighSchool,3201,42,74,5,10,111,3,21,97,92,29,,99,37,84,115,0,3,0,3
RichmondAcademy,D860,,,,,,,,,,,,,,,,,,,
RichmondHighSchool,8993,69,184,54,28,279,45,32,230,164,143,,213,191,116,237,27,12,4,27
RileyHighSchool,7513,38,160,15,27,186,9,33,171,97,116,,160,134,79,99,69,31,1,13
RiseUpAcademyatEggleston,7534,0,26,23,0,49,0,0,49,5,44,1,48,27,22,19,16,8,0,6
RisingSunHighSchool,6513,20,39,2,12,49,1,7,53,36,25,6,55,11,50,60,1,0,0,0
RiverForestHighSchool,3791,7,55,1,5,58,10,6,47,14,49,,46,38,25,30,4,27,0,2
RivertonParkeJrSrHighSchool,6627,20,44,7,2,69,0,4,67,50,21,,44,39,32,70,0,0,0,1
RivetMiddleHighSchool,B560,16,4,1,1,20,0,0,21,18,3,1,20,1,20,20,0,0,1,0
RochesterCommunityHighSchool,2173,50,49,14,7,106,1,7,105,87,26,,90,38,75,105,0,4,0,4
RockCreekCommunityAcademy,0771,11,27,0,1,37,0,0,38,24,14,3,35,7,31,26,8,0,1,3
RockvilleJrSrHighSchool,6637,21,22,8,4,47,7,15,29,33,18,,35,20,31,47,0,1,0,3
RoncalliHighSchool,C320,161,111,0,1,271,121,45,106,191,81,,252,36,236,249,2,11,5,5
RossvilleMiddleSeniorHighSchool,1021,30,39,3,2,70,21,24,27,28,44,4,68,7,65,68,1,1,0,2
SaintJosephHighSchool,D225,103,98,0,2,199,76,40,85,0,201,4,197,19,182,145,10,24,13,9
SalemHighSchool,8857,48,62,18,19,109,11,14,103,82,46,,95,56,72,123,1,1,1,2
ScottsburgSeniorHighSchool,7641,46,75,47,15,153,5,44,119,110,58,,134,54,114,158,1,6,1,2
SeegerMemorialJrSrHS,8737,32,52,9,3,90,15,20,58,50,43,,81,25,68,93,0,0,0,0
