School,ID,Ball State University,Indiana State University,University of Southern Indiana,IU-Bloomington,IU-East,IU-Kokomo,IU-Northwest,IU-Purdue University-Indianapolis,IU-South Bend,IU-Southeast,IU-Purdue University-Fort Wayne,PU-Calumet Campus,PU-North Central Campus,PU-Polytechnic Statewide,PU-West Lafayette,Ivy Tech Community College,Vincennes University
PinnacleSchool,C899,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PioneerJrSrHighSchool,0645,0,2,1,0,0,7,0,2,0,0,1,0,1,0,4,9,1
PlainfieldHighSchool,2749,14,18,5,26,0,0,0,42,0,1,1,0,1,0,26,42,3
PlymouthHighSchool,5945,10,5,0,5,0,0,0,3,28,0,1,0,4,1,9,22,0
PortageChristianSchool,D080,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PortageHighSchool,6853,7,9,7,24,0,0,46,14,0,0,6,17,53,0,19,66,5
PrairieHeightsSrHighSchool,3690,2,0,2,3,0,0,0,1,1,0,4,0,0,0,4,11,2
PrincetonCommunityHighSchool,2249,1,3,17,8,0,0,0,2,0,0,0,0,0,0,1,5,25
ProvidenceCristoReyHighSchool,C623,1,7,2,0,0,1,0,3,0,0,0,0,0,0,1,4,2
RNelsonSniderHighSchool,0102,19,8,0,28,1,1,0,7,0,0,70,0,0,0,16,58,2
RandolphSouthernJrSrHighSch,7121,1,2,0,0,6,0,0,0,0,0,0,0,0,0,1,11,1
ReitzMemorialHighSchool,D535,9,0,28,25,0,0,0,4,0,0,0,0,0,0,5,4,3
RensselaerCentralHighSchool,3201,3,6,4,2,0,1,1,1,0,0,0,0,1,0,11,10,4
RichmondAcademy,D860,,,,,,,,,,,,,,,,,
RichmondHighSchool,8993,15,9,2,16,49,0,0,2,1,1,0,0,0,5,4,51,2
RileyHighSchool,7513,3,14,2,11,0,0,0,7,31,0,1,0,0,3,9,20,1
RiseUpAcademyatEggleston,7534,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
RisingSunHighSchool,6513,0,3,4,1,0,0,0,4,0,0,0,0,0,0,1,11,0
RiverForestHighSchool,3791,0,2,0,0,0,0,7,0,0,0,0,3,6,0,0,5,0
RivertonParkeJrSrHighSchool,6627,0,17,0,1,0,0,0,2,0,0,0,0,0,0,0,13,0
RivetMiddleHighSchool,B560,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,11
RochesterCommunityHighSchool,2173,8,1,1,7,0,4,0,1,0,0,8,0,0,0,10,4,0
RockCreekCommunityAcademy,0771,1,2,0,0,0,0,0,0,0,7,0,3,0,0,0,7,0
RockvilleJrSrHighSchool,6637,2,9,0,3,0,0,0,1,0,0,0,0,0,0,3,11,1
RoncalliHighSchool,C320,29,3,3,44,0,0,0,34,0,0,1,1,0,0,35,19,1
RossvilleMiddleSeniorHighSchool,1021,1,4,0,3,0,3,0,2,0,0,1,0,0,0,15,12,0
SaintJosephHighSchool,D225,6,0,0,29,0,0,0,3,13,0,0,0,0,0,9,5,0
SalemHighSchool,8857,5,1,5,3,0,0,0,9,0,12,0,0,0,1,5,6,5
ScottsburgSeniorHighSchool,7641,4,2,2,5,0,0,0,5,0,23,0,0,0,0,2,22,6
SeegerMemorialJrSrHS,8737,3,7,1,2,0,0,0,1,0,0,0,0,0,0,11,19,2
SetonCatholicHighSchool,D842,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
SeymourChristianAcademy,B455,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
SeymourSeniorHighSchool,3133,4,7,2,14,0,0,0,36,0,5,0,1,0,1,17,35,3
ShakamakJrSrHighSchool,2445,0,6,2,2,0,0,0,0,0,0,0,0,0,0,1,15,11
